"URL","LAST_UPDATED","CHANNEL","GENRE","LOCATION","SORTED"
"PLSrMfDSgltgfvmLgVH1TE9vCq6rRmugOi","20120919","Avolord","Random","./Avolord","No"
"PLSrMfDSgltgfvmLgVH1TE9vCq6rRmugOi","20120919","Avolord","Random","./Avolord2","Yes"
"PLSrMfDSgltgd8J8Xj4b5AVhRVnz1DH-CQ","20120101","Babymetal","Metal","./Babymetal",""
